Ticker,Adoption,Stage,HG,LTG_W,LTG_M,Derection,LTG_M-HG
QTUM,126.6,3.2,14.4,12.0,15.4,-2.4,<0
AIQ,455.9,3.6,23.4,17.3,18.2,-6.1,<0
CLOU,170.6,2.6,21.8,10.9,21.1,-10.9,<0
CIBR,46.7,6.4,15.5,14.0,19.5,-1.5,<0
LIT,97.8,11.4,11.8,20.9,37.6,9.1,>5
IDRV,369.1,2.6,9.3,20.8,27.3,11.5,>10
META,497.5,0.4,19.6,15.4,18.4,-4.2,<0
ESPO,119.8,3.1,23.9,10.6,12.1,-13.3,<0
SOCL,253.9,10.1,21.1,19.4,21.6,-1.7,<0
BKCH,30.4,0.4,1.9,2.1,29.3,0.2,>0
IPAY,81.6,6.4,9.7,16.6,21.4,6.9,>5
ARKF,36.9,2.8,3.6,13.9,27.8,10.3,>10
FIVG,120.5,2.7,14.9,15.9,19.7,1.0,>0
SNSR,34.5,5.2,8.2,17.6,20.6,9.4,>5
ARKW,113.9,7.2,3.3,6.1,24.2,2.8,>0
ARKX,102.3,0.7,11.0,4.3,13.8,-6.7,<0
PRNT,89.9,5.4,3.4,7.1,24.3,3.7,>0
BOTZ,95.1,5.2,13.3,17.2,20.4,3.9,>0
ARKK,110.6,7.1,0.0,3.6,8.7,3.6,>0
AWAY,17.0,1.8,4.5,3.2,23.0,-1.3,<0
BETZ,5.6,1.5,9.5,6.9,19.2,-2.6,<0
ONLN,413.7,3.4,31.2,21.9,40.5,-9.3,<0
EMQQ,129.5,7.1,15.5,31.0,21.0,15.5,>15
MILN,356.9,5.6,17.6,16.7,26.2,-0.9,<0
MJ,10.5,6.0,2.2,1.8,9.3,-0.4,<0
ARKG,11.4,7.1,5.2,-2.8,-4.0,-8.0,<0
EDOC,45.0,1.3,2.0,5.1,9.0,3.1,>0
BFIT,19.3,5.6,10.8,16.2,21.7,5.4,>5
AGNG,112.8,5.6,11.7,7.2,11.3,-4.5,<0
ICLN,20.2,13.4,6.9,8.6,28.0,1.7,>0
PBW,19.5,16.8,2.1,6.5,20.8,4.4,>0
HYDR,16.2,0.4,4.3,1.7,23.3,-2.6,<0
TAN,8.6,13.6,2.4,16.9,44.9,14.5,>10
FAN,27.7,13.5,7.6,9.1,23.0,1.5,>0
EVX,23.4,15.2,11.7,6.4,19.2,-5.3,<0
PHO,32.9,16.0,9.2,6.7,12.1,-2.5,<0
REMX,7.5,11.1,6.5,5.0,37.7,-1.5,<0
PAVE,20.6,4.7,5.0,5.1,18.4,0.1,>0
