Ticker,Adoption,Stage,HG,LTG_W,LTG_M,Derection,LTG_M-HG
QTUM,126.6034652,3.2,14.4,12.0,15.4,1.0,>0
AIQ,455.8871791,3.6,23.4,17.3,18.2,-5.2,<0
CLOU,170.5547827,2.6,21.8,10.9,21.1,-0.7,<0
CIBR,46.73901277,6.4,15.5,14.0,19.5,4.0,>0
LIT,97.84643665,11.4,11.8,20.9,37.6,25.8,>20
IDRV,369.0916461,2.6,9.3,20.8,27.3,18.0,>15
META,497.5246029,0.4,19.6,15.4,18.4,-1.2,<0
ESPO,119.8487443,3.1,23.9,10.6,12.1,-11.8,<0
SOCL,253.9280999,10.1,21.1,19.4,21.6,0.5,>0
BKCH,30.42217762,0.4,1.9,2.1,29.3,27.4,>20
IPAY,81.64501934,6.4,9.7,16.6,21.4,11.7,>10
ARKF,36.93561762,2.8,3.6,13.9,27.8,24.2,>20
FIVG,120.459774,2.7,14.9,15.9,19.7,4.8,>0
SNSR,34.46008341,5.2,8.2,17.6,20.6,12.4,>10
ARKW,113.9287341,7.2,3.3,6.1,24.2,20.9,>20
ARKX,102.318927,0.7,11.0,4.3,13.8,2.8,>0
PRNT,89.86003367,5.4,3.4,7.1,24.3,20.9,>20
BOTZ,95.13330782,5.2,13.3,17.2,20.4,7.1,>5
ARKK,110.5838569,7.1,0.0,3.6,8.7,8.7,>5
AWAY,17.00540992,1.8,4.5,3.2,23.0,18.5,>15
BETZ,5.579968752,1.5,9.5,6.9,19.2,9.7,>5
ONLN,413.6629323,3.4,31.2,21.9,40.5,9.3,>5
EMQQ,129.4780063,7.1,15.5,31.0,21.0,5.5,>5
MILN,356.9243219,5.6,17.6,16.7,26.2,8.6,>5
MJ,10.54131205,6,2.2,1.8,9.3,7.1,>5
ARKG,11.42324842,7.1,5.2,-2.8,-4.0,-9.2,<0
EDOC,44.98868566,1.3,2.0,5.1,9.0,7.0,>5
BFIT,19.33780699,5.6,10.8,16.2,21.7,10.9,>10
AGNG,112.8205789,5.6,11.7,7.2,11.3,-0.4,<0
ICLN,20.19008293,13.4,6.9,8.6,28.0,21.1,>20
PBW,19.5060002,16.8,2.1,6.5,20.8,18.7,>15
HYDR,16.24550173,0.4,4.3,1.7,23.3,19.0,>15
TAN,8.572111662,13.6,2.4,16.9,44.9,42.5,>20
FAN,27.72880204,13.5,7.6,9.1,23.0,15.4,>15
EVX,23.36814607,15.2,11.7,6.4,19.2,7.5,>5
PHO,32.94326582,16,9.2,6.7,12.1,2.9,>0
REMX,7.484434764,11.1,6.5,5.0,37.7,31.2,>20
PAVE,20.55328484,4.7,5.0,5.1,18.4,13.4,>10
