Ticker,Adoption,Stage,HG,LTG_W,LTG_M,Derection,LTG_M-HG
QTUM,149.6,3.2,14.0,15.1,16.7,2.7,>0
AIQ,463.0,3.6,24.2,18.0,21.8,-2.4,<0
CLOU,168.1,2.6,23.9,16.1,27.2,3.3,>0
CIBR,48.6,6.4,14.8,10.3,12.5,-2.3,<0
LIT,93.7,11.4,15.5,21.9,46.4,30.9,>20
IDRV,407.3,2.6,11.3,27.8,36.9,25.6,>20
META,603.0,0.4,22.6,15.5,20.6,-2.0,<0
ESPO,163.8,3.1,22.9,12.1,14.8,-8.1,<0
SOCL,317.5,10.1,20.7,14.7,29.7,9.0,>5
BKCH,32.7,0.4,1.1,11.6,44.0,42.9,>20
IPAY,90.1,6.4,9.7,18.1,22.2,12.5,>10
ARKF,104.6,2.8,11.0,18.7,26.6,15.6,>15
FIVG,130.5,2.7,13.5,17.8,20.1,6.6,>5
SNSR,37.1,5.2,7.6,17.6,23.1,15.5,>15
ARKW,177.3,7.2,5.2,18.4,25.4,20.2,>20
ARKX,116.5,0.7,12.6,7.7,20.6,8.0,>5
PRNT,118.3,5.4,4.0,10.7,25.2,21.2,>20
BOTZ,115.7,5.2,13.1,35.3,26.3,13.2,>10
ARKK,152.7,7.1,1.3,18.0,30.0,28.7,>20
AWAY,18.8,1.8,4.5,12.6,135.4,130.9,>20
BETZ,7.7,1.5,9.5,5.2,15.1,5.6,>5
ONLN,477.0,3.4,30.6,16.4,28.6,-2.0,<0
EMQQ,145.4,7.1,16.7,11.6,34.9,18.2,>15
MILN,337.2,5.6,17.9,22.9,37.7,19.8,>15
MJ,14.4,6.0,2.8,2.2,8.9,6.1,>5
ARKG,15.5,7.1,5.9,0.2,12.6,6.7,>5
EDOC,38.5,1.3,4.6,4.2,14.2,9.6,>5
BFIT,25.3,5.6,11.1,23.0,37.6,26.5,>20
AGNG,87.7,5.6,11.3,7.7,13.2,1.9,>0
ICLN,20.0,13.4,5.4,9.4,17.7,12.3,>10
PBW,26.6,16.8,1.7,4.8,15.8,14.1,>10
HYDR,13.1,0.4,2.3,2.1,23.6,21.3,>20
TAN,10.1,13.6,3.3,17.8,31.9,28.6,>20
FAN,26.1,13.5,7.3,6.2,17.7,10.4,>10
EVX,23.6,15.2,11.8,7.7,16.9,5.1,>5
PHO,35.9,16.0,9.3,6.7,14.0,4.7,>0
REMX,9.2,11.1,6.8,11.4,56.4,49.6,>20
PAVE,30.0,4.7,13.1,13.8,24.0,10.9,>10
