Ticker,Adoption,Stage,HG,LTG_W,LTG_M,Derection,LTG_M-HG
QTUM,119.1792023,3.2,14.4,10.8,13.8,-0.6,<0
AIQ,422.8304273,3.6,23.4,15.5,15.9,-7.5,<0
CLOU,157.7960148,2.6,21.8,10.4,19.9,-1.9,<0
CIBR,43.82116129,6.4,15.5,13.9,19.3,3.8,>0
LIT,83.89757856,11.4,11.8,17.7,32,20.2,>20
IDRV,342.3390737,2.6,9.3,19.1,24.4,15.1,>15
META,465.357478,0.4,19.6,13.4,16.7,-2.9,<0
ESPO,105.7633359,3.1,23.9,10.9,14.3,-9.6,<0
SOCL,229.2389499,10.1,21.1,14.1,18.5,-2.6,<0
BKCH,25.46276351,0.4,1.9,2.1,29.4,27.5,>20
IPAY,81.34386049,6.4,9.7,17.1,21.8,12.1,>10
ARKF,31.49366208,2.8,2.9,11.7,25.1,22.2,>20
FIVG,113.7056428,2.7,14.9,12.1,15.1,0.2,>0
SNSR,33.38235583,5.2,8.2,15,17.3,9.1,>5
ARKW,106.2018529,7.2,0.7,8.1,24.7,24,>20
ARKX,91.18337471,0.7,11,2.8,12.5,1.5,>0
PRNT,91.4396841,5.4,3.5,7.1,23.3,19.8,>15
BOTZ,89.74630436,5.2,14.2,15.8,19.7,5.5,>5
ARKK,106.3328717,7.1,-0.1,3.6,6.8,6.9,>5
AWAY,17.23364902,1.8,4.2,6.2,30.4,26.2,>20
BETZ,5.364472065,1.5,9.5,6.8,21.3,11.8,>10
ONLN,421.4335559,3.4,32.9,24.2,41.2,8.3,>5
EMQQ,121.4338542,7.1,15.5,24,21.4,5.9,>5
MILN,333.2559017,5.6,17.6,15.5,24.9,7.3,>5
MJ,10.3829039,6,2.2,1.8,9.3,7.1,>5
ARKG,10.16043109,7.1,5.1,-3.1,-3,-8.1,<0
EDOC,41.88371218,1.3,2,4.7,8.1,6.1,>5
BFIT,18.45514147,5.6,10.8,15.9,22,11.2,>10
AGNG,105.1755532,5.6,11.4,7.6,11.6,0.2,>0
ICLN,18.28463639,13.4,6.9,8.8,26.9,20,>15
PBW,16.2450438,16.8,1.7,3.3,18.8,17.1,>15
HYDR,15.74702632,0.4,4.3,1.6,21,16.7,>15
TAN,7.41811871,13.6,2.4,14.9,42.8,40.4,>20
FAN,25.09395173,13.5,8.6,10.6,24.7,16.1,>15
EVX,23.19640007,15.2,11.7,6.2,18.9,7.2,>5
PHO,31.71528562,16,9.2,7.1,11.4,2.2,>0
REMX,6.106554829,11.1,6.5,2,14.9,8.4,>5
PAVE,25.29084069,4.7,7.1,8.2,17.4,10.3,>10
