Ticker,Adoption,Stage,HG,LTG_W,LTG_M,Derection,LTG_M-HG
Game,2.185949636,4.7,5.5,68.5,184.2,63,>20
Contents,1.536770536,7.5,-0.9,31.9,53.3,32.8,>20
Robot,34.98399556,0.4,9.2,9.4,19.6,0.2,>0
Mobility,10.37491319,1.9,13.2,43.3,63.5,30.1,>20
Sapce,5.243565122,1,10.2,34.1,52.2,23.9,>20
Battery,19.40020298,4.5,14.1,71.7,93.3,57.6,>20
Battery Recycle,11.59428537,0.4,-3.4,55.4,51.8,58.8,>20
5G,63.68998969,2.4,2.3,-3.7,20.5,-6,<0
Metaverse,18.66779756,1.5,5.8,30,44.6,24.2,>20
Platform,8.22271476,1.4,11.7,9.2,11.6,-2.5,<0
BBIG,24.50291597,2.5,8.7,6.2,6.5,-2.5,<0
Healthcare Innovation,18.59680329,2.5,4.2,-0.1,-1.9,-4.3,<0
e-commerce,9.634241162,3.9,12.6,5.3,22.2,-7.3,<0
Travle,1.641106063,7.5,4.6,10.7,39.5,6.1,>5
Contact Consumer,2.693739608,1.8,10,32.9,39.5,22.9,>20
China Consumer,1.76152452,11.3,6.8,20.1,27.6,13.3,>10
Hydrogen,8.632436545,2.4,2.8,41.9,75.9,39.1,>20
Clean Energy,9.365249084,1.8,14.1,77.6,78.5,63.5,>20
Nuclear Energy,6.428837152,0.8,-0.3,6.6,13.4,6.9,>5
Climate Solution,48.21327568,1.4,11.4,42.8,69.2,31.4,>20
Clean Tech,103.9032184,2.1,7.9,-5.9,38.9,-13.8,<0
Scarce resources,11.24176145,4.3,7.8,6.7,17.9,-1.1,<0
