Ticker,Adoption,Stage,HG,LTG_W,LTG_M,Derection,LTG_M-HG
Game,2.4,4.8,3.5,47.2,128.6,43.7,>20
Contents,2.0,7.6,1.0,29.3,41.8,28.3,>20
Robot,37.3,0.5,7.4,8.5,15.8,1.1,>0
Mobility,8.2,2.0,8.3,20.0,37.3,11.7,>10
Space,5.9,1.2,10.1,582.8,571.9,572.7,>20
Battery,18.5,4.7,12.4,60.7,71.4,48.3,>20
Battery Recycle,11.8,0.6,-3.4,45.2,56.9,48.6,>20
5G,75.4,2.6,0.3,-5.4,17.3,-5.7,<0
Metaverse,20.6,1.6,6.1,21.5,31.3,15.4,>15
Platform,8.3,1.5,9.6,37.9,45.9,28.3,>20
BBIG,24.0,2.6,7.9,6.4,5.5,-1.5,<0
Healthcare Innovation,18.9,2.6,4.4,-3.0,-2.2,-7.4,<0
e-Commerce,9.7,4.1,10.6,65.0,87.2,54.4,>20
Travel,1.6,7.6,6.0,121.9,257.9,115.9,>20
Contact,3.2,2.0,8.9,73.1,76.7,64.2,>20
China Consumer,1.8,11.4,4.8,53.5,70.7,48.7,>20
Hydrogen,10.9,2.6,-4.2,37.3,55.4,41.5,>20
Clean Energy,9.4,2.0,12.8,54.2,58.5,41.4,>20
Neclear Energy,6.6,0.9,-1.2,8.3,17.7,9.5,>5
Climate Action,50.3,1.6,10.5,314.6,"1,018.3",304.1,>20
Clean Tech,111.6,2.3,5.0,92.8,259.6,87.8,>20
Scarce resource,9.7,4.4,6.7,12.5,14.2,5.8,>5
