Ticker,Adoption,Stage,HG,LTG_W,LTG_M,Derection,LTG_W-HG
CLOU,111.4,3.5,33.6,9.5,13.6,-24.1,<0
CIBR,28.3,7.3,10.5,18.1,23.1,7.6,>5
QTUM,102.5,4.1,15.3,8.9,11.6,-6.4,<0
AIQ,319.1,4.4,20.7,12.9,15.1,-7.8,<0
SNSR,25.9,6.1,10.3,10.7,13.9,0.4,>0
VPN,39.5,2,20.9,3.9,8.5,-17,<0
ARKX,77.8,1.6,8.7,5.2,14.3,-3.5,<0
ARKW,76.2,8.1,28.2,4.1,20.4,-24.1,<0
SOCL,152,10.9,10,10,8,0,<0
ESPO,69.5,4,23,9.9,12.5,-13.1,<0
METV,449.7,1.3,18.3,8.4,9.4,-9.9,<0
BKCH,15.3,1.3,1.7,-4.3,0.8,-6,<0
IPAY,64.1,7.3,11.1,14.5,24.2,3.4,>0
ARKF,23.9,3.7,21.9,5.6,22.6,-16.3,<0
LIT,53.3,12.3,26.8,27.7,30.7,0.9,>0
IDRV,255.8,3.5,13.3,14.6,20.6,1.3,>0
PRNT,77.1,6.3,9.5,8.2,22.3,-1.3,<0
BOTZ,46.3,6.1,8.3,8.5,16.4,0.2,>0
ARKK,77,8,27.6,1,-3.3,-26.6,<0
AGNG,84.3,6.5,9.6,7.1,11.5,-2.5,<0
BFIT,12.3,6.5,14.7,7.7,13.5,-7,<0
ARKG,8.2,8,2.7,-2.9,-8.2,-5.6,<0
EDOC,32.9,2.2,4.7,3,5.1,-1.7,<0
MJ,3.4,6.9,2.5,0.6,9.1,-1.9,<0
ONLN,323.5,4.3,22.2,12.9,17.5,-9.3,<0
EMQQ,80.7,7.9,6.4,20.1,22.9,13.7,>10
MILN,225.9,6.5,17.4,13,13.6,-4.4,<0
BETZ,4.7,2.4,6.3,6,12.5,-0.3,<0
AWAY,12.6,2.7,5.4,12.2,47.4,6.8,>5
HYDR,13.9,1.3,3.2,27.7,41.4,24.5,>20
TAN,8,14.5,19.5,13.1,34.6,-6.4,<0
FAN,19.5,14.4,3.9,11.7,18.3,7.8,>5
PBW,12.4,17.6,3.5,6.5,28.7,3,>0
ICLN,15.3,14.3,23.1,13.1,28.2,-10,<0
REMX,6.3,12,23.7,5.5,16.4,-18.2,<0
EVX,21.2,16,11.7,5.2,12.7,-6.5,<0
PHO,29.1,16.9,8.4,4.7,10.2,-3.7,<0
PAVE,24.8,5.6,17.7,8.5,16.8,-9.2,<0
